created_at,"field1(温度 ºC )",field2(湿度),field3(电压),field4(信号强度(WiFi)),field5,field6,field7,field8,field9,field10,field11,field12,field13,field14,field15,status,lat,long,elev,wifi,cell,serial,log,wifi_loc,cell_loc
2026-07-08T12:06:39+08:00,23.9372,35.3674,,,,,,,,,,,,,,,,,,,,PK1VB10GS1A,,,
2026-07-08T12:11:53+08:00,,,,-21,,,,,,,,,,,,,,,,,,PK1VB10GS1A,,,
2026-07-08T12:16:40+08:00,23.9078,35.2438,,,,,,,,,,,,,,,,,,,,PK1VB10GS1A,,,
2026-07-08T12:17:59+08:00,,,3.3966,,,,,,,,,,,,,,,,,,,PK1VB10GS1A,,,
2026-07-08T12:26:40+08:00,23.8918,35.1888,,,,,,,,,,,,,,,,,,,,PK1VB10GS1A,,,
2026-07-08T12:36:41+08:00,23.9239,35.0149,,,,,,,,,,,,,,,,,,,,PK1VB10GS1A,,,
2026-07-08T12:41:54+08:00,,,,-20,,,,,,,,,,,,,,,,,,PK1VB10GS1A,,,
2026-07-08T12:46:41+08:00,23.9372,34.641,,,,,,,,,,,,,,,,,,,,PK1VB10GS1A,,,
2026-07-08T12:56:42+08:00,23.9372,34.4945,,,,,,,,,,,,,,,,,,,,PK1VB10GS1A,,,
2026-07-08T13:06:42+08:00,23.9239,34.4121,,,,,,,,,,,,,,,,,,,,PK1VB10GS1A,,,
2026-07-08T13:11:54+08:00,,,,-22,,,,,,,,,,,,,,,,,,PK1VB10GS1A,,,
2026-07-08T13:16:42+08:00,23.9239,34.3984,,,,,,,,,,,,,,,,,,,,PK1VB10GS1A,,,
2026-07-08T13:17:59+08:00,,,3.4003,,,,,,,,,,,,,,,,,,,PK1VB10GS1A,,,
2026-07-08T13:26:43+08:00,23.8918,34.4381,,,,,,,,,,,,,,,,,,,,PK1VB10GS1A,,,
2026-07-08T13:36:43+08:00,23.8785,34.5678,,,,,,,,,,,,,,,,,,,,PK1VB10GS1A,,,
2026-07-08T13:41:54+08:00,,,,-22,,,,,,,,,,,,,,,,,,PK1VB10GS1A,,,
2026-07-08T13:46:43+08:00,23.9078,34.493,,,,,,,,,,,,,,,,,,,,PK1VB10GS1A,,,
2026-07-08T13:56:44+08:00,23.9372,34.6166,,,,,,,,,,,,,,,,,,,,PK1VB10GS1A,,,
2026-07-08T14:06:45+08:00,23.9506,34.5754,,,,,,,,,,,,,,,,,,,,PK1VB10GS1A,,,
2026-07-08T14:11:54+08:00,,,,-20,,,,,,,,,,,,,,,,,,PK1VB10GS1A,,,
2026-07-08T14:16:46+08:00,23.9666,34.5495,,,,,,,,,,,,,,,,,,,,PK1VB10GS1A,,,
2026-07-08T14:17:59+08:00,,,3.3966,,,,,,,,,,,,,,,,,,,PK1VB10GS1A,,,
2026-07-08T14:26:46+08:00,23.9372,34.4671,,,,,,,,,,,,,,,,,,,,PK1VB10GS1A,,,
2026-07-08T14:36:47+08:00,23.9666,34.7372,,,,,,,,,,,,,,,,,,,,PK1VB10GS1A,,,
2026-07-08T14:41:55+08:00,,,,-21,,,,,,,,,,,,,,,,,,PK1VB10GS1A,,,
2026-07-08T14:46:48+08:00,23.9239,34.7601,,,,,,,,,,,,,,,,,,,,PK1VB10GS1A,,,
2026-07-08T14:56:48+08:00,23.9372,34.7356,,,,,,,,,,,,,,,,,,,,PK1VB10GS1A,,,
2026-07-08T15:06:48+08:00,23.9239,34.7219,,,,,,,,,,,,,,,,,,,,PK1VB10GS1A,,,
2026-07-08T15:11:56+08:00,,,,-22,,,,,,,,,,,,,,,,,,PK1VB10GS1A,,,
2026-07-08T15:16:48+08:00,23.9372,34.5724,,,,,,,,,,,,,,,,,,,,PK1VB10GS1A,,,
2026-07-08T15:18:00+08:00,,,3.3966,,,,,,,,,,,,,,,,,,,PK1VB10GS1A,,,
2026-07-08T15:26:49+08:00,23.9506,35.4498,,,,,,,,,,,,,,,,,,,,PK1VB10GS1A,,,
2026-07-08T15:36:49+08:00,23.9506,35.0988,,,,,,,,,,,,,,,,,,,,PK1VB10GS1A,,,
2026-07-08T15:41:56+08:00,,,,-21,,,,,,,,,,,,,,,,,,PK1VB10GS1A,,,
2026-07-08T15:46:49+08:00,23.9372,34.8318,,,,,,,,,,,,,,,,,,,,PK1VB10GS1A,,,
2026-07-08T15:56:50+08:00,24.0761,34.9889,,,,,,,,,,,,,,,,,,,,PK1VB10GS1A,,,
2026-07-08T16:06:51+08:00,24.036,34.8409,,,,,,,,,,,,,,,,,,,,PK1VB10GS1A,,,
2026-07-08T16:11:56+08:00,,,,-21,,,,,,,,,,,,,,,,,,PK1VB10GS1A,,,
2026-07-08T16:16:52+08:00,24.0921,34.8837,,,,,,,,,,,,,,,,,,,,PK1VB10GS1A,,,
