created_at,field1(温度 ºC ),field2(湿度),field3(电压),field4(信号强度(WiFi)),field5,field6,field7,field8,field9,field10,field11,field12,field13,field14,field15,status,lat,long,elev,wifi,cell,serial,log,wifi_loc,cell_loc
2026-08-04T12:09:15+08:00,21.7128,43.1022,,,,,,,,,,,,,,,,,,,,PK1VB10GS1A,,,
2026-08-04T12:19:15+08:00,21.7128,42.8275,,,,,,,,,,,,,,,,,,,,PK1VB10GS1A,,,
2026-08-04T12:21:33+08:00,,,,-40,,,,,,,,,,,,,,,,,,PK1VB10GS1A,,,
2026-08-04T12:29:16+08:00,21.7689,42.475,,,,,,,,,,,,,,,,,,,,PK1VB10GS1A,,,
2026-08-04T12:39:17+08:00,21.7689,42.2095,,,,,,,,,,,,,,,,,,,,PK1VB10GS1A,,,
2026-08-04T12:46:26+08:00,,,3.9664,,,,,,,,,,,,,,,,,,,PK1VB10GS1A,,,
2026-08-04T12:49:18+08:00,21.7983,42.0401,,,,,,,,,,,,,,,,,,,,PK1VB10GS1A,,,
2026-08-04T12:51:34+08:00,,,,-40,,,,,,,,,,,,,,,,,,PK1VB10GS1A,,,
2026-08-04T12:59:18+08:00,21.7983,41.9974,,,,,,,,,,,,,,,,,,,,PK1VB10GS1A,,,
2026-08-04T13:09:19+08:00,21.7849,41.8112,,,,,,,,,,,,,,,,,,,,PK1VB10GS1A,,,
2026-08-04T13:19:19+08:00,21.7556,41.7548,,,,,,,,,,,,,,,,,,,,PK1VB10GS1A,,,
2026-08-04T13:21:34+08:00,,,,-38,,,,,,,,,,,,,,,,,,PK1VB10GS1A,,,
2026-08-04T13:29:19+08:00,21.7689,41.6876,,,,,,,,,,,,,,,,,,,,PK1VB10GS1A,,,
2026-08-04T13:39:18+08:00,21.7689,41.5412,,,,,,,,,,,,,,,,,,,,PK1VB10GS1A,,,
2026-08-04T13:46:25+08:00,,,3.9664,,,,,,,,,,,,,,,,,,,PK1VB10GS1A,,,
2026-08-04T13:49:19+08:00,21.7983,41.4633,,,,,,,,,,,,,,,,,,,,PK1VB10GS1A,,,
2026-08-04T13:51:34+08:00,,,,-38,,,,,,,,,,,,,,,,,,PK1VB10GS1A,,,
2026-08-04T13:59:18+08:00,21.7689,41.4618,,,,,,,,,,,,,,,,,,,,PK1VB10GS1A,,,
2026-08-04T14:09:18+08:00,21.7849,41.5991,,,,,,,,,,,,,,,,,,,,PK1VB10GS1A,,,
2026-08-04T14:19:18+08:00,21.841,41.8433,,,,,,,,,,,,,,,,,,,,PK1VB10GS1A,,,
2026-08-04T14:21:34+08:00,,,,-38,,,,,,,,,,,,,,,,,,PK1VB10GS1A,,,
2026-08-04T14:29:19+08:00,21.8811,42.2629,,,,,,,,,,,,,,,,,,,,PK1VB10GS1A,,,
2026-08-04T14:39:19+08:00,21.8811,42.3972,,,,,,,,,,,,,,,,,,,,PK1VB10GS1A,,,
2026-08-04T14:46:25+08:00,,,3.9664,,,,,,,,,,,,,,,,,,,PK1VB10GS1A,,,
2026-08-04T14:49:18+08:00,21.8811,42.7573,,,,,,,,,,,,,,,,,,,,PK1VB10GS1A,,,
2026-08-04T14:51:35+08:00,,,,-63,,,,,,,,,,,,,,,,,,PK1VB10GS1A,,,
2026-08-04T14:59:18+08:00,21.9665,43.0198,,,,,,,,,,,,,,,,,,,,PK1VB10GS1A,,,
2026-08-04T15:09:18+08:00,21.9371,43.4623,,,,,,,,,,,,,,,,,,,,PK1VB10GS1A,,,
2026-08-04T15:19:18+08:00,21.825,43.4089,,,,,,,,,,,,,,,,,,,,PK1VB10GS1A,,,
2026-08-04T15:21:35+08:00,,,,-37,,,,,,,,,,,,,,,,,,PK1VB10GS1A,,,
2026-08-04T15:29:19+08:00,21.7983,44.1947,,,,,,,,,,,,,,,,,,,,PK1VB10GS1A,,,
2026-08-04T15:39:19+08:00,21.8116,43.5676,,,,,,,,,,,,,,,,,,,,PK1VB10GS1A,,,
2026-08-04T15:46:25+08:00,,,3.9627,,,,,,,,,,,,,,,,,,,PK1VB10GS1A,,,
2026-08-04T15:49:18+08:00,21.7556,43.0457,,,,,,,,,,,,,,,,,,,,PK1VB10GS1A,,,
2026-08-04T15:51:35+08:00,,,,-39,,,,,,,,,,,,,,,,,,PK1VB10GS1A,,,
2026-08-04T15:59:19+08:00,21.7556,42.4887,,,,,,,,,,,,,,,,,,,,PK1VB10GS1A,,,
2026-08-04T16:09:19+08:00,21.6834,42.9999,,,,,,,,,,,,,,,,,,,,PK1VB10GS1A,,,
2026-08-04T16:19:19+08:00,21.614,44.5029,,,,,,,,,,,,,,,,,,,,PK1VB10GS1A,,,
2026-08-04T16:21:34+08:00,,,,-39,,,,,,,,,,,,,,,,,,PK1VB10GS1A,,,
2026-08-04T16:29:18+08:00,21.7556,45.3819,,,,,,,,,,,,,,,,,,,,PK1VB10GS1A,,,
2026-08-04T16:39:18+08:00,21.5846,45.1255,,,,,,,,,,,,,,,,,,,,PK1VB10GS1A,,,
2026-08-04T16:46:25+08:00,,,3.9627,,,,,,,,,,,,,,,,,,,PK1VB10GS1A,,,
2026-08-04T16:49:19+08:00,21.598,44.1077,,,,,,,,,,,,,,,,,,,,PK1VB10GS1A,,,
2026-08-04T16:51:35+08:00,,,,-39,,,,,,,,,,,,,,,,,,PK1VB10GS1A,,,
2026-08-04T16:59:18+08:00,21.5286,43.3631,,,,,,,,,,,,,,,,,,,,PK1VB10GS1A,,,
2026-08-04T17:09:19+08:00,21.4591,43.0594,,,,,,,,,,,,,,,,,,,,PK1VB10GS1A,,,
2026-08-04T17:19:19+08:00,21.3764,42.6291,,,,,,,,,,,,,,,,,,,,PK1VB10GS1A,,,
2026-08-04T17:21:36+08:00,,,,-39,,,,,,,,,,,,,,,,,,PK1VB10GS1A,,,
2026-08-04T17:29:20+08:00,21.3897,42.3789,,,,,,,,,,,,,,,,,,,,PK1VB10GS1A,,,
2026-08-04T17:39:20+08:00,21.2909,42.4872,,,,,,,,,,,,,,,,,,,,PK1VB10GS1A,,,
2026-08-04T17:46:26+08:00,,,3.9664,,,,,,,,,,,,,,,,,,,PK1VB10GS1A,,,
2026-08-04T17:49:19+08:00,21.3764,42.1118,,,,,,,,,,,,,,,,,,,,PK1VB10GS1A,,,
2026-08-04T17:51:36+08:00,,,,-42,,,,,,,,,,,,,,,,,,PK1VB10GS1A,,,
2026-08-04T17:59:20+08:00,21.4458,43.0198,,,,,,,,,,,,,,,,,,,,PK1VB10GS1A,,,
2026-08-04T18:09:20+08:00,21.4324,43.1189,,,,,,,,,,,,,,,,,,,,PK1VB10GS1A,,,
2026-08-04T18:19:20+08:00,21.4591,42.681,,,,,,,,,,,,,,,,,,,,PK1VB10GS1A,,,
2026-08-04T18:21:36+08:00,,,,-43,,,,,,,,,,,,,,,,,,PK1VB10GS1A,,,
